id,internalId,related_id,slug,title,duration,viewedCount,presenterDisplayName
21925,492,176,paul_maccready_a_flight_on_solar_wings,A flight on solar wings,1266,900992,Paul MacCready
21925,492,51,amory_lovins_winning_the_oil_endgame,Winning the oil endgame,1164,1094065,Amory Lovins
21925,492,193,juan_enriquez_using_biology_to_rethink_the_energy_challenge,Using biology to rethink the energy challenge,1071,1576728,Juan Enriquez
21925,492,723,bertrand_piccard_my_solar_powered_adventure,My solar-powered adventure,1049,917158,Bertrand Piccard
21925,492,1402,regina_dugan_from_mach_20_glider_to_hummingbird_drone,From mach-20 glider to hummingbird drone,1484,1814794,Regina Dugan
21925,492,379,paul_maccready_nature_vs_humans,Nature vs. humans,1349,249736,Paul MacCready
21841,490,104,william_mcdonough_cradle_to_cradle_design,Cradle to cradle design,1185,2091448,William McDonough
21841,490,74,alex_steffen_the_route_to_a_sustainable_future,The route to a sustainable future,1034,1878728,Alex Steffen
21841,490,18,janine_benyus_biomimicry_s_surprising_lessons_from_nature_s_engineers,Biomimicry's surprising lessons from nature's engineers,1379,2571601,Janine Benyus
21841,490,2127,ameenah_gurib_fakim_humble_plants_that_hide_surprising_secrets,Humble plants that hide surprising secrets,842,1131155,Ameenah Gurib-Fakim
21841,490,556,jonathan_drori_why_we_re_storing_billions_of_seeds,Why we're storing billions of seeds,381,698584,Jonathan Drori
21841,490,976,stefano_mancuso_the_roots_of_plant_intelligence,The roots of plant intelligence,813,1514603,Stefano Mancuso
21797,489,1410,chip_kidd_designing_books_is_no_laughing_matter_ok_it_is,"Designing books is no laughing matter. OK, it is.",1019,2758362,Chip Kidd
21797,489,1471,john_hodgman_design_explained,"Design, explained.",366,1244300,John Hodgman
21797,489,435,paula_scher_great_design_is_serious_not_solemn,"Great design is serious, not solemn",1294,736862,Paula Scher
21797,489,436,david_carson_design_and_discovery,Design and discovery,1340,1035421,David Carson
21797,489,182,maira_kalman_the_illustrated_woman,The illustrated woman,1036,874165,Maira Kalman
21797,489,1048,neil_pasricha_the_3_a_s_of_awesome,The 3 A's of awesome,1036,3548057,Neil Pasricha
21729,488,271,nathan_myhrvold_archaeology_animal_photography_bbq,"Archaeology, animal photography, BBQ ...",1020,655386,Nathan Myhrvold
21729,488,90,neil_gershenfeld_unleash_your_creativity_in_a_fab_lab,Unleash your creativity in a Fab Lab,1025,924814,Neil Gershenfeld
21729,488,477,mike_rowe_learning_from_dirty_jobs,Learning from dirty jobs,1181,10136213,Mike Rowe
21729,488,122,david_kelley_human_centered_design,Human-centered design,1007,1233847,David Kelley
21729,488,534,tom_shannon_anti_gravity_sculpture,Anti-gravity sculpture,701,1357472,Tom Shannon
21729,488,1468,diane_kelly_what_we_didn_t_know_about_penis_anatomy,What we didn't know about penis anatomy,663,4872156,Diane Kelly
21659,487,420,dan_gilbert_why_we_make_bad_decisions,Why we make bad decisions,1998,6145850,Dan Gilbert
21659,487,102,dan_dennett_the_illusion_of_consciousness,The illusion of consciousness,1294,4622850,Dan Dennett
21659,487,341,jonathan_haidt_the_moral_roots_of_liberals_and_conservatives,The moral roots of liberals and conservatives,1102,4533359,Jonathan Haidt
21659,487,1087,bill_gates_how_state_budgets_are_breaking_us_schools,How state budgets are breaking US schools,599,2151812,Bill Gates
21659,487,1746,peter_singer_the_why_and_how_of_effective_altruism,The why and how of effective altruism,1025,2425753,Peter Singer
21659,487,1367,shlomo_benartzi_saving_for_tomorrow_tomorrow,"Saving for tomorrow, tomorrow",1048,2073509,Shlomo Benartzi
21585,485,341,jonathan_haidt_the_moral_roots_of_liberals_and_conservatives,The moral roots of liberals and conservatives,1102,4533359,Jonathan Haidt
21585,485,102,dan_dennett_the_illusion_of_consciousness,The illusion of consciousness,1294,4622850,Dan Dennett
21585,485,16,helen_fisher_why_we_love_why_we_cheat,"Why we love, why we cheat",1394,12608228,Helen Fisher
21585,485,1241,alison_gopnik_what_do_babies_think,What do babies think?,1092,5631362,Alison Gopnik
21585,485,2747,nicole_avena_how_sugar_affects_the_brain,How sugar affects the brain,288,18382617,Nicole Avena
21585,485,752,jane_chen_a_warm_embrace_that_saves_lives,A warm embrace that saves lives,269,1056075,Jane Chen
21525,484,92,hans_rosling_the_best_stats_you_ve_ever_seen,The best stats you've ever seen,1176,15943379,Hans Rosling
21525,484,2094,kenneth_cukier_big_data_is_better_data,Big data is better data,942,2052030,Kenneth Cukier
21525,484,788,tim_berners_lee_the_year_open_data_went_worldwide,The year open data went worldwide,316,813842,Tim Berners-Lee
21525,484,783,gary_flake_is_pivot_a_turning_point_for_web_exploration,Is Pivot a turning point for web exploration?,361,808085,Gary Flake
21525,484,2727,giorgia_lupi_how_we_can_find_ourselves_in_data,How we can find ourselves in data,663,1412482,Giorgia Lupi
21525,484,2061,tim_berners_lee_a_magna_carta_for_the_web,A Magna Carta for the web,393,1251140,Tim Berners-Lee
21471,483,202,gever_tulley_5_dangerous_things_you_should_let_your_kids_do,5 dangerous things you should let your kids do,545,5598862,Gever Tulley
21471,483,366,mihaly_csikszentmihalyi_flow_the_secret_to_happiness,"Flow, the secret to happiness",1121,7804592,Mihaly Csikszentmihalyi
21471,483,392,tim_brown_tales_of_creativity_and_play,Tales of creativity and play,1657,2503232,Tim Brown
21471,483,1170,steve_keil_a_manifesto_for_play_for_bulgaria_and_beyond,"A manifesto for play, for Bulgaria and beyond",1059,760098,Steve Keil
21471,483,1102,isabel_behncke_evolution_s_gift_of_play_from_bonobo_apes_to_humans,"Evolution's gift of play, from bonobo apes to humans",404,1073490,Isabel Behncke
21471,483,435,paula_scher_great_design_is_serious_not_solemn,"Great design is serious, not solemn",1294,736862,Paula Scher
21389,482,443,aimee_mullins_changing_my_legs_and_my_mindset,Changing my legs - and my mindset,1229,1446447,Aimee Mullins
21389,482,103,evelyn_glennie_how_to_truly_listen,How to truly listen,1915,6960251,Evelyn Glennie
21389,482,396,isaac_mizrahi_fashion_and_creativity,Fashion and creativity,836,1223329,Isaac Mizrahi
21389,482,1285,amy_purdy_living_beyond_limits,Living beyond limits,575,2326646,Amy Purdy
21389,482,1971,david_sengeh_the_sore_problem_of_prosthetic_limbs,The sore problem of prosthetic limbs,269,928499,David Sengeh
21389,482,2014,robert_full_the_secrets_of_nature_s_grossest_creatures_channeled_into_robots,"The secrets of nature's grossest creatures, channeled into robots",294,1323484,Robert Full
21305,481,457,david_merrill_toy_tiles_that_talk_to_each_other,Toy tiles that talk to each other,415,1974759,David Merrill
21305,481,129,blaise_aguera_y_arcas_how_photosynth_can_connect_the_world_s_images,How PhotoSynth can connect the world's images,436,6068907,Blaise Agüera y Arcas
21305,481,131,anand_agarawala_rethink_the_desktop_with_bumptop,Rethink the desktop with BumpTop,265,1729756,Anand Agarawala
21305,481,685,pranav_mistry_the_thrilling_potential_of_sixthsense_technology,The thrilling potential of SixthSense technology,813,19617868,Pranav Mistry
21305,481,760,george_whitesides_a_lab_the_size_of_a_postage_stamp,A lab the size of a postage stamp,959,565977,George Whitesides
21305,481,65,jeff_han_the_radical_promise_of_the_multi_touch_interface,The radical promise of the multi-touch interface,514,4880398,Jeff Han
21239,480,50,stefan_sagmeister_happiness_by_design,Happiness by design,916,2405416,Stefan Sagmeister
21239,480,266,yves_behar_designing_objects_that_tell_stories,Designing objects that tell stories,1049,1377929,Yves Béhar
21239,480,2,amy_smith_simple_designs_to_save_a_life,Simple designs to save a life,886,1903153,Amy Smith
21239,480,1243,richard_seymour_how_beauty_feels,How beauty feels,1018,1200576,Richard Seymour
21239,480,7592,tiffany_watt_smith_the_history_of_human_emotions,The history of human emotions,850,4659292,Tiffany Watt Smith
21239,480,9463,susan_david_the_gift_and_power_of_emotional_courage,The gift and power of emotional courage,998,11160537,Susan David
21227,478,46,jennifer_lin_improvising_on_piano_aged_14,"Improvising on piano, aged 14",1431,1889626,Jennifer Lin
21227,478,287,nellie_mckay_clonie,"""Clonie""",120,887637,Nellie McKay
21227,478,246,tod_machover_dan_ellsey_inventing_instruments_that_unlock_new_music,Inventing instruments that unlock new music,1221,627789,Tod Machover + Dan Ellsey
21227,478,1298,stefon_harris_there_are_no_mistakes_on_the_bandstand,There are no mistakes on the bandstand,774,837517,Stefon Harris
21227,478,883,david_byrne_how_architecture_helped_music_evolve,How architecture helped music evolve,943,1831726,David Byrne
21227,478,1526,mark_applebaum_the_mad_scientist_of_music,The mad scientist of music,993,5766346,Mark Applebaum
21183,477,499,nathan_wolfe_the_jungle_search_for_viruses,The jungle search for viruses,719,1921471,Nathan Wolfe
21183,477,141,bill_stone_inside_the_world_s_deepest_caves,Inside the world's deepest caves,1049,2287593,Bill Stone
21183,477,406,dan_barber_a_foie_gras_parable,A foie gras parable,1202,1634480,Dan Barber
21183,477,13585,mel_robbins_how_to_stop_screwing_yourself_over,How to stop screwing yourself over,1300,33801451,Mel Robbins
